,year,state,consumption,state_code,tax_name,tax_code,taxes_collected,include?,population
258,2018,Connecticut,181568,7.0,Sales and Gross Receipts Taxes,TA1,6991470,no,3573880
259,2019,Connecticut,185316,7.0,Sales and Gross Receipts Taxes,TA1,6991470,no,3573880
260,2020,Connecticut,179406,7.0,Sales and Gross Receipts Taxes,TA1,6991470,no,3573880
261,2018,Maine,60086,20.0,Sales and Gross Receipts Taxes,TA1,2165142,no,1335063
262,2019,Maine,62130,20.0,Sales and Gross Receipts Taxes,TA1,2165142,no,1335063
263,2020,Maine,61124,20.0,Sales and Gross Receipts Taxes,TA1,2165142,no,1335063
264,2018,Massachusetts,364730,22.0,Sales and Gross Receipts Taxes,TA1,8809249,no,6863246
265,2019,Massachusetts,377584,22.0,Sales and Gross Receipts Taxes,TA1,8809249,no,6863246
266,2020,Massachusetts,358472,22.0,Sales and Gross Receipts Taxes,TA1,8809249,no,6863246
267,2018,New Hampshire,69527,30.0,Salesand Gross Receipts Taxes,TA1,959384,no,1349767
268,2019,New Hampshire,72030,30.0,Salesand Gross Receipts Taxes,TA1,959384,no,1349767
269,2020,New Hampshire,70719,30.0,Salesand Gross Receipts Taxes,TA1,959384,no,1349767
270,2018,Rhode Island,45923,40.0,Sales and Gross Receipts Taxes,TA1,1691782,no,1056486
271,2019,Rhode Island,47198,40.0,Sales and Gross Receipts Taxes,TA1,1691782,no,1056486
272,2020,Rhode Island,45397,40.0,Sales and Gross Receipts Taxes,TA1,1691782,no,1056486
273,2018,Vermont,30020,46.0,Sales and Gross Receipts Taxes,TA1,1058569,no,624525
274,2019,Vermont,30756,46.0,Sales and Gross Receipts Taxes,TA1,1058569,no,624525
275,2020,Vermont,29545,46.0,Sales and Gross Receipts Taxes,TA1,1058569,no,624525
276,2018,Delaware,44250,8.0,Sales and Gross Receipts Taxes,TA1,556490,no,957078
277,2019,Delaware,45865,8.0,Sales and Gross Receipts Taxes,TA1,556490,no,957078
278,2020,Delaware,44834,8.0,Sales and Gross Receipts Taxes,TA1,556490,no,957078
279,2018,Maryland,273980,21.0,Sales and Gross Receipts Taxes,TA1,9242760,no,6024891
280,2019,Maryland,280842,21.0,Sales and Gross Receipts Taxes,TA1,9242760,no,6024891
281,2020,Maryland,268457,21.0,Sales and Gross Receipts Taxes,TA1,9242760,no,6024891
282,2018,New Jersey,443500,31.0,Sales and Gross Receipts Taxes,TA1,14163269,no,8888543
283,2019,New Jersey,458468,31.0,Sales and Gross Receipts Taxes,TA1,14163269,no,8888543
284,2020,New Jersey,446078,31.0,Sales and Gross Receipts Taxes,TA1,14163269,no,8888543
285,2018,New York,976857,33.0,Sales and Gross Receipts Taxes,TA1,25362583,no,19590719
286,2019,New York,1015020,33.0,Sales and Gross Receipts Taxes,TA1,25362583,no,19590719
287,2020,New York,961707,33.0,Sales and Gross Receipts Taxes,TA1,25362583,no,19590719
288,2018,Pennsylvania,577036,39.0,Sales and Gross Receipts Taxes,TA1,20173496,no,12790447
289,2019,Pennsylvania,594861,39.0,Sales and Gross Receipts Taxes,TA1,20173496,no,12790447
290,2020,Pennsylvania,570772,39.0,Sales and Gross Receipts Taxes,TA1,20173496,no,12790447
291,2018,Illinois,559565,14.0,Sales and Gross Receipts Taxes,TA1,18629894,no,12786196
292,2019,Illinois,574300,14.0,Sales and Gross Receipts Taxes,TA1,18629894,no,12786196
293,2020,Illinois,553612,14.0,Sales and Gross Receipts Taxes,TA1,18629894,no,12786196
294,2018,Indiana,253792,15.0,Sales and Gross Receipts Taxes,TA1,11013349,no,6660082
295,2019,Indiana,260120,15.0,Sales and Gross Receipts Taxes,TA1,11013349,no,6660082
296,2020,Indiana,257343,15.0,Sales and Gross Receipts Taxes,TA1,11013349,no,6660082
297,2018,Michigan,411916,23.0,Sales and Gross Receipts Taxes,TA1,13703621,no,9976447
298,2019,Michigan,423448,23.0,Sales and Gross Receipts Taxes,TA1,13703621,no,9976447
299,2020,Michigan,411364,23.0,Sales and Gross Receipts Taxes,TA1,13703621,no,9976447
300,2018,Ohio,463474,36.0,Sales and Gross Receipts Taxes,TA1,18743014,no,11664129
301,2019,Ohio,475942,36.0,Sales and Gross Receipts Taxes,TA1,18743014,no,11664129
302,2020,Ohio,466160,36.0,Sales and Gross Receipts Taxes,TA1,18743014,no,11664129
303,2018,Wisconsin,238008,50.0,Sales and Gross Receipts Taxes,TA1,7972959,no,5792051
304,2019,Wisconsin,244555,50.0,Sales and Gross Receipts Taxes,TA1,7972959,no,5792051
305,2020,Wisconsin,238923,50.0,Sales and Gross Receipts Taxes,TA1,7972959,no,5792051
306,2018,Iowa,119390,16.0,Sales and Gross Receipts Taxes,TA1,4613085,no,3143637
307,2019,Iowa,121840,16.0,Sales and Gross Receipts Taxes,TA1,4613085,no,3143637
308,2020,Iowa,118905,16.0,Sales and Gross Receipts Taxes,TA1,4613085,no,3143637
309,2018,Kansas,111458,17.0,Sales and Gross Receipts Taxes,TA1,4301759,no,2910689
310,2019,Kansas,114771,17.0,Sales and Gross Receipts Taxes,TA1,4301759,no,2910689
311,2020,Kansas,113185,17.0,Sales and Gross Receipts Taxes,TA1,4301759,no,2910689
312,2018,Minnesota,255154,24.0,Sales and Gross Receipts Taxes,TA1,10607635,no,5568155
313,2019,Minnesota,262443,24.0,Sales and Gross Receipts Taxes,TA1,10607635,no,5568155
314,2020,Minnesota,251205,24.0,Sales and Gross Receipts Taxes,TA1,10607635,no,5568155
315,2018,Missouri,244845,26.0,Sales and Gross Receipts Taxes,TA1,5403936,no,6108612
316,2019,Missouri,252194,26.0,Sales and Gross Receipts Taxes,TA1,5403936,no,6108612
317,2020,Missouri,246053,26.0,Sales and Gross Receipts Taxes,TA1,5403936,no,6108612
318,2018,Nebraska,78632,28.0,Sales and Gross Receipts Taxes,TA1,2407514,no,1917575
319,2019,Nebraska,80688,28.0,Sales and Gross Receipts Taxes,TA1,2407514,no,1917575
320,2020,Nebraska,79714,28.0,Sales and Gross Receipts Taxes,TA1,2407514,no,1917575
321,2018,North Dakota,34104,35.0,Sales and Gross Receipts Taxes,TA1,1349428,no,755176
322,2019,North Dakota,34836,35.0,Sales and Gross Receipts Taxes,TA1,1349428,no,755176
323,2020,North Dakota,33631,35.0,Sales and Gross Receipts Taxes,TA1,1349428,no,755176
324,2018,South Dakota,36219,42.0,Sales and Gross Receipts Taxes,TA1,1517856,no,873286
325,2019,South Dakota,37599,42.0,Sales and Gross Receipts Taxes,TA1,1517856,no,873286
326,2020,South Dakota,37338,42.0,Sales and Gross Receipts Taxes,TA1,1517856,no,873286
327,2018,Alabama,170857,1.0,Sales and Gross Receipts Taxes,TA1,5247294,no,4875120
328,2019,Alabama,177751,1.0,Sales and Gross Receipts Taxes,TA1,5247294,no,4875120
329,2020,Alabama,176480,1.0,Sales and Gross Receipts Taxes,TA1,5247294,no,4875120
330,2018,Arkansas,101727,4.0,Sales and Gross Receipts Taxes,TA1,4701868,no,3002997
331,2019,Arkansas,104430,4.0,Sales and Gross Receipts Taxes,TA1,4701868,no,3002997
332,2020,Arkansas,104489,4.0,Sales and Gross Receipts Taxes,TA1,4701868,no,3002997
